player,gameweek,away_team,home_team,results_home_goals,results_away_goals,predictions_home_goals,predictions_away_goals
mark lawrenson,14,liverpool,stoke,0,3,1,2
mark lawrenson,15,southampton,bournemouth,1,1,0,2
mark lawrenson,15,man utd,arsenal,1,3,1,1
mark lawrenson,15,liverpool,brighton,1,5,0,2
mark lawrenson,15,newcastle,chelsea,3,1,2,0
mark lawrenson,15,huddersfield,everton,2,0,2,0
mark lawrenson,15,burnley,leicester,1,0,1,1
mark lawrenson,15,west ham,man city,2,1,3,0
mark lawrenson,15,swansea,stoke,2,1,2,0
mark lawrenson,15,tottenham,watford,1,1,1,2
mark lawrenson,15,crystal palace,west brom,0,0,2,1
mark lawrenson,16,watford,burnley,1,0,2,0
mark lawrenson,16,bournemouth,crystal palace,2,2,2,1
mark lawrenson,16,brighton,huddersfield,2,0,1,1
mark lawrenson,16,everton,liverpool,1,1,2,0
mark lawrenson,16,man city,man utd,1,2,2,1
mark lawrenson,16,leicester,newcastle,2,3,2,1
mark lawrenson,16,arsenal,southampton,1,1,1,1
mark lawrenson,16,west brom,swansea,1,0,1,1
mark lawrenson,16,stoke,tottenham,5,1,2,0
mark lawrenson,16,chelsea,west ham,1,0,1,1
mark lawrenson,17,stoke,burnley,1,0,2,0
mark lawrenson,17,watford,crystal palace,2,1,2,1
mark lawrenson,17,chelsea,huddersfield,1,3,0,2
mark lawrenson,17,bournemouth,man utd,1,0,2,0
mark lawrenson,17,man city,swansea,0,4,0,2
mark lawrenson,17,arsenal,west ham,0,0,1,1
mark lawrenson,17,west brom,liverpool,0,0,2,0
mark lawrenson,17,everton,newcastle,0,1,1,1
mark lawrenson,17,leicester,southampton,1,4,1,1
mark lawrenson,17,brighton,tottenham,2,0,2,0
mark lawrenson,18,liverpool,bournemouth,0,4,0,2
mark lawrenson,18,newcastle,arsenal,1,0,3,0
mark lawrenson,18,burnley,brighton,0,0,1,1
mark lawrenson,18,southampton,chelsea,1,0,2,0
mark lawrenson,18,swansea,everton,3,1,2,0
mark lawrenson,18,crystal palace,leicester,0,3,2,0
mark lawrenson,18,tottenham,man city,4,1,1,1
mark lawrenson,18,west ham,stoke,0,3,1,1
mark lawrenson,18,huddersfield,watford,1,4,2,0
mark lawrenson,18,man utd,west brom,1,2,0,2
mark lawrenson,19,liverpool,arsenal,3,3,2,2
mark lawrenson,19,watford,brighton,1,0,2,0
mark lawrenson,19,tottenham,burnley,0,3,0,2
mark lawrenson,19,chelsea,everton,0,0,0,2
mark lawrenson,19,man utd,leicester,2,2,0,2
mark lawrenson,19,bournemouth,man city,4,0,3,0
mark lawrenson,19,huddersfield,southampton,1,1,1,1
mark lawrenson,19,west brom,stoke,3,1,1,1
mark lawrenson,19,crystal palace,swansea,1,1,1,2
mark lawrenson,19,newcastle,west ham,2,3,2,0
mark lawrenson,20,west ham,bournemouth,3,3,1,1
mark lawrenson,20,brighton,chelsea,2,0,2,0
mark lawrenson,20,arsenal,crystal palace,2,3,1,1
mark lawrenson,20,stoke,huddersfield,1,1,1,1
mark lawrenson,20,swansea,liverpool,5,0,3,0
mark lawrenson,20,burnley,man utd,2,2,2,0
mark lawrenson,20,man city,newcastle,0,1,0,2
